Account Name,Deal Stage,Amount,Close Date,Created Date,Owner,Industry,Region
Liu-Malone,Closed Lost,41475.55,1/28/2026,3/1/2025,Denise Lee,Manufacturing,Europe
Liu-Malone,Closed Lost,50916.61,8/12/2026,2/17/2025,David Rocha,Retail,Asia
"Kaufman, Abbott and Mendez",Prospecting,92444,10/2/2026,,Kristen Obrien,Technology,Europe
Brown-Mcpherson,Closed Won,51467.06,1/10/2026,4/6/2025,Jason Hudson,Finance,North America
Green LLC,,16341.75,10/30/2025,4/18/2025,Robert Moore,Technology,Asia
Bates Ltd,Closed Lost,92784.07,10/13/2026,1/15/2025,David Rocha,Manufacturing,South America
Miller Group,qualification,9102.35,2/3/2026,5/16/2025,Jessica Ball,Technology,South America
Miller Group,Closed Lost,,10/11/2026,1/21/2025,David Rocha,Healthcare,
Black Group,Closed Won,28127.38,11/18/2025,4/18/2025,Jason Hudson,Healthcare,Europe
Harrell and Sons,Closed Won,"$54,221.15 ",12/16/2026,5/14/2025,Kathleen Harris,Technology,North America
Small PLC,Negotiation,60752.75,6/20/2026,1/2/2025,Michael Horton,Healthcare,Europe
"Sexton, Williams and Solis",proposal,88862.64,1/2/2026,3/18/2025,David Rocha,Manufacturing,
Tucker LLC,Prospecting,81928.86,9/21/2026,4/6/2025,Jason Hudson,Education,North America
Tucker LLC,Negotiation,71554.03,7/26/2026,3/2/2025,David Potter,Retail,North America
Schroeder and Sons,PROSPECTING,24489.28,11/17/2025,5/4/2025,Craig Johnson,Finance,Europe
Smith-Moore,,41925.03,2/6/2026,2/21/2025,James Burke,Retail,Europe
"Patton, Mann and Chen",Closed Lost,57391.56,6/5/2026,,David Potter,Technology,South America
Gallagher-Ellis,Negotiation,86441.83,10/26/2026,4/6/2025,Miss Dorothy Collins DVM,Education,North America
"Allen, Richardson and Nguyen",prospecting,61794.66,1/11/2026,3/15/2025,Alexandra Ramos,Finance,South America
"Pearson, James and Wagner",negotiation,25360.83,11/4/2025,5/19/2025,Bradley Macdonald,Healthcare,North America
Grant-Phillips,qualification,"$57,352.96 ",8/30/2026,5/22/2025,Denise Lee,Technology,South America
Newman Ltd,QUALIFICATION,28643.31,8/12/2026,3/4/2025,Jessica Ball,Retail,South America
"Lynch, Johnson and Hester",negotiation,15868.58,6/4/2026,1/20/2025,Michael Horton,Education,South America
Harrell and Sons,proposal,1098.38,9/22/2026,3/3/2025,David Rocha,Technology,Europe
Brown-Mcpherson,Prospecting,"$16,023.97 ",12/3/2025,2/1/2025,Jessica Ball,,North America
Castaneda-Phillips,Negotiation,9130.23,6/13/2026,3/20/2025,Alexandra Ramos,Manufacturing,North America
Green LLC,,23004.87,11/6/2025,5/18/2025,,Manufacturing,North America
Lane-Price,closed won,94710.91,5/10/2026,1/14/2025,,,Asia
"Carpenter, Hutchinson and Vance",negotiation,35506.02,7/16/2026,1/8/2025,Nicole Curtis,Technology,North America
Holland-Matthews,closed won,72612.05,4/5/2026,4/18/2025,Jonathan Patterson,Education,North America
"Johnson, Brown and Robinson",negotiation,73624.95,11/2/2025,1/1/2025,,Healthcare,Asia
Orr Ltd,Negotiation,43648.42,3/6/2026,1/14/2025,Mark Lopez,Education,South America
"Gonzalez, Jarvis and Cohen",PROSPECTING,26376.85,12/19/2025,1/9/2025,Miss Dorothy Collins DVM,,North America
Campbell-Hanson,Closed Won,53262.3,11/19/2025,5/21/2025,Kathleen Harris,Finance,Europe
Small PLC,Proposal,75945.69,12/17/2025,3/23/2025,Martin Johnston,Finance,South America
Jimenez Ltd,PROSPECTING,37177.27,10/30/2025,4/23/2025,David Rocha,Manufacturing,Europe
Rogers-Rhodes,Proposal,25370.74,11/22/2026,3/28/2025,Jennifer Cox,Education,Asia
Liu-Malone,CLOSED WON,1846.94,5/4/2026,4/28/2025,James Burke,Education,North America
Martin-Hernandez,Closed Won,13394.27,5/15/2026,3/21/2025,Mark Lopez,Healthcare,Asia
Knight-Wilcox,closed won,41617.92,,1/15/2025,Nicole Curtis,Education,Europe
Schroeder and Sons,Closed Won,14744.6,11/21/2025,1/15/2025,Jessica Ball,Retail,Europe
Pineda Ltd,Proposal,60655.26,12/10/2026,4/21/2025,Michael Horton,Education,South America
"Carpenter, Hutchinson and Vance",,93114.29,2/20/2026,4/30/2025,Richard Warren,Manufacturing,South America
,Negotiation,76332.6,12/19/2026,5/7/2025,David Potter,Finance,South America
"Page, Morris and Rosales",proposal,96156.92,8/4/2026,3/25/2025,Jennifer Cox,Finance,South America
Kennedy-Thornton,negotiation,10491.48,4/27/2026,1/28/2025,Amanda Owens,Healthcare,Asia
Holland-Matthews,CLOSED LOST,17934.01,3/19/2026,5/18/2025,Kathleen Harris,Technology,North America
Robinson Ltd,Closed Lost,,10/8/2025,5/19/2025,Kimberly Morgan,Finance,South America
Terry-Baldwin,Negotiation,88735.79,8/11/2026,3/29/2025,Jessica Ball,Technology,Asia
Rodriguez Group,Proposal,31133.08,6/5/2026,2/1/2025,Bradley Macdonald,Retail,Asia
Roman-Parker,,18279.14,1/23/2026,4/16/2025,Alexandra Ramos,Finance,North America
,closed lost,53246.38,3/25/2026,2/6/2025,Miss Dorothy Collins DVM,Technology,North America
Sanchez Inc,Proposal,39300.94,1/25/2026,4/5/2025,David Rocha,Education,South America
Romero PLC,Negotiation,98881.27,10/7/2026,2/12/2025,Spencer Stanley,Retail,Asia
Schroeder and Sons,Negotiation,76323.05,10/12/2025,3/23/2025,David Potter,Finance,Europe
Pineda Ltd,prospecting,33955.53,12/1/2026,4/12/2025,Bradley Macdonald,Education,South America
Rogers-Rhodes,negotiation,2177.07,,2/14/2025,Marissa Perry,Finance,North America
Robinson Ltd,negotiation,68748.69,3/30/2026,3/20/2025,Rebecca Spence,Finance,
"Mcgrath, Salazar and Perez",Proposal,96999.85,10/7/2026,1/8/2025,Kimberly Morgan,Healthcare,Asia
"Marshall, Combs and Johnson",Closed Won,58976.22,12/26/2026,5/10/2025,Jennifer Cox,Technology,South America
Roman-Parker,closed won,6180,12/15/2025,2/5/2025,Michael Horton,Manufacturing,North America
Liu-Malone,CLOSED WON,49651.15,1/21/2026,1/19/2025,Michael Horton,Healthcare,Asia
Paul Ltd,Closed Won,11237.04,10/14/2026,4/17/2025,Jason Hudson,Retail,Europe
"Thompson, Nelson and Peterson",CLOSED LOST,15542.68,10/26/2025,3/26/2025,Mark Lopez,,Europe
Mclaughlin Inc,prospecting,99212.14,1/4/2026,1/11/2025,Marissa Perry,,North America
Mclaughlin Inc,prospecting,55481.28,7/6/2026,1/13/2025,Miss Dorothy Collins DVM,Retail,North America
Jimenez Ltd,CLOSED LOST,57184.45,12/26/2026,1/27/2025,David Potter,Healthcare,Europe
"Oliver, Beltran and Anderson",closed lost,60215.68,6/26/2026,2/14/2025,Bradley Macdonald,Technology,North America
"Mcgrath, Salazar and Perez",CLOSED LOST,87420.67,,4/7/2025,Jessica Ball,Finance,North America
Bates Ltd,closed lost,"$18,744.80 ",2/24/2026,4/2/2025,Jason Hudson,Retail,North America
"Griffith, Mejia and Rodriguez",NEGOTIATION,67006.75,12/24/2025,4/28/2025,,Technology,South America
"Sexton, Williams and Solis",Proposal,10532.54,1/16/2026,1/23/2025,Michael Horton,Education,North America
"Carpenter, Hutchinson and Vance",QUALIFICATION,10796.41,3/4/2026,4/19/2025,Yvette Griffith,Finance,Europe
Parker-Brown,Closed Lost,22093.26,9/16/2026,2/4/2025,,Retail,Asia
,Prospecting,12524.74,11/12/2025,1/9/2025,Craig Johnson,Education,South America
"Fisher, Sweeney and Newman",Closed Won,38220.77,6/30/2026,3/13/2025,Robert Moore,,Asia
Green Inc,negotiation,85535.31,10/26/2026,1/13/2025,James Burke,Technology,Europe
Romero PLC,Negotiation,64981.31,9/25/2026,4/30/2025,Rebecca Spence,Manufacturing,South America
,Proposal,38118.35,11/5/2025,1/4/2025,Spencer Stanley,Healthcare,Europe
Carlson-Brown,Proposal,97722.08,,5/28/2025,Martin Johnston,Technology,North America
Tyler Group,PROPOSAL,72527.24,4/7/2026,5/14/2025,Spencer Stanley,,Asia
"Davis, Woods and Lewis",Qualification,18536.23,3/6/2026,5/20/2025,Michael Horton,Technology,Asia
Miller Group,proposal,42014.19,12/26/2026,4/6/2025,David Rocha,Healthcare,North America
Bolton-Curry,Prospecting,9695.53,10/21/2026,1/25/2025,Brittany Chaney,Healthcare,Asia
Richardson LLC,Prospecting,4319.68,,1/15/2025,Denise Lee,Finance,Asia
"Burke, Gonzalez and Mcknight",QUALIFICATION,62295.81,2/1/2026,2/27/2025,Martin Johnston,Technology,South America
"Davis, Woods and Lewis",Qualification,5275.13,3/11/2026,4/3/2025,David Potter,Education,South America
Brown-Mcpherson,Closed Won,95111.07,2/13/2026,2/12/2025,Spencer Stanley,Technology,North America
Parker-Brown,,18236.96,12/15/2026,5/9/2025,Robert Moore,Technology,North America
Schroeder and Sons,PROSPECTING,36971.98,7/24/2026,2/5/2025,Martin Johnston,,North America
Hurst and Sons,,65697.77,11/3/2025,4/3/2025,Richard Warren,Finance,South America
Campbell-Hanson,Prospecting,85377.81,8/4/2026,4/13/2025,Nicole Curtis,Technology,
"Pearson, James and Wagner",closed lost,14065.1,10/27/2026,5/19/2025,Traci Bell DDS,Healthcare,South America
"Gonzalez, Jarvis and Cohen",closed lost,53656.76,7/23/2026,1/19/2025,Nicole Curtis,Technology,Europe
Newman Ltd,,96455.07,4/7/2026,5/31/2025,Jennifer Cox,Healthcare,Asia
Martin-Hernandez,Closed Won,50928.82,12/18/2025,3/30/2025,Kimberly Morgan,Retail,North America
Jones-Wilson,Qualification,56805.46,1/31/2026,5/13/2025,Michael Horton,Technology,Asia
Campbell-Hanson,Proposal,14252.44,11/11/2026,3/30/2025,Mark Lopez,Healthcare,North America
Wilson and Sons,closed won,73785.61,6/27/2026,,Brittany Chaney,Manufacturing,Asia
"Oliver, Beltran and Anderson",proposal,44585.49,2/16/2026,2/24/2025,Alexandra Ramos,Healthcare,South America
Hall-Sparks,,49604.47,2/28/2026,4/7/2025,Michael Horton,Manufacturing,Europe
"Fisher, Sweeney and Newman",Closed Won,"$36,415.62 ",6/2/2026,5/4/2025,Yvette Griffith,Healthcare,Asia
Parker-Brown,Negotiation,71018.23,11/14/2026,1/29/2025,Ryan Mann,Retail,Asia
Robinson Ltd,negotiation,58645.05,10/21/2025,5/30/2025,Mark Lopez,Healthcare,Europe
Holland-Matthews,Qualification,95940.13,10/13/2026,1/3/2025,Jason Hudson,Healthcare,North America
Green LLC,,37642.72,3/22/2026,4/28/2025,Jessica Ball,Retail,North America
"Levine, Porter and Reed",PROPOSAL,87475.14,3/18/2026,2/11/2025,Catherine Ray,Education,Europe
Vargas Ltd,Closed Lost,24861.88,1/4/2026,4/16/2025,Yvette Griffith,Healthcare,South America
"Crane, Spears and Adams",Closed Won,15119.18,6/12/2026,5/27/2025,Richard Warren,Technology,Europe
Robinson Ltd,Closed Lost,59992.55,12/3/2026,2/5/2025,Spencer Stanley,Education,South America
Harris and Sons,Closed Won,86372.81,8/9/2026,3/17/2025,Alexandra Ramos,Education,Asia
Miller Group,closed won,67073.21,8/7/2026,3/26/2025,Denise Lee,Education,South America
Sweeney-Graves,Closed Lost,97243.29,8/20/2026,3/7/2025,Traci Bell DDS,,Asia
Hall-Sparks,Prospecting,36218.9,,1/5/2025,Amanda Owens,,Europe
Tucker LLC,Proposal,68648.87,11/6/2025,2/20/2025,Martin Johnston,Manufacturing,North America
"Levine, Porter and Reed",Qualification,23460.24,12/22/2025,,Kathleen Harris,Retail,South America
Rodriguez Inc,QUALIFICATION,18565.07,12/25/2025,5/19/2025,Traci Bell DDS,Retail,Asia
Castaneda-Phillips,negotiation,10293.07,8/22/2026,4/7/2025,Jason Hudson,Manufacturing,South America
Tyler Group,NEGOTIATION,44180.03,5/28/2026,2/17/2025,Robert Moore,Manufacturing,North America
"Cole, Fischer and Adams",CLOSED WON,"$54,933.62 ",7/10/2026,1/2/2025,Denise Lee,Manufacturing,Asia
"Palmer, Sloan and Clark",CLOSED LOST,,11/18/2026,3/3/2025,Richard Warren,Technology,Europe
Liu-Malone,Qualification,87095.4,9/30/2026,5/27/2025,Yvette Griffith,Education,Europe
"Pearson, James and Wagner",Qualification,9835.48,1/24/2026,1/2/2025,David Potter,Education,South America
Pineda Ltd,closed won,42895.85,7/13/2026,3/5/2025,Michael Horton,Technology,Europe
Carlson-Brown,negotiation,"$6,003.65 ",11/4/2025,2/2/2025,Rebecca Spence,,Asia
"Hoffman, Thomas and Hawkins",negotiation,96877.86,2/4/2026,5/8/2025,Jonathan Patterson,Education,Asia
Ramirez PLC,Qualification,48526.26,9/1/2026,1/1/2025,Bradley Macdonald,Healthcare,South America
Bates Ltd,qualification,23579.76,6/29/2026,4/5/2025,Craig Johnson,Education,Europe
"Sexton, Williams and Solis",Proposal,56270.65,12/29/2025,,Jonathan Patterson,Manufacturing,South America
Johnson Ltd,Qualification,73647.2,11/1/2026,4/24/2025,David Potter,Education,Europe
"Johnson, Brown and Robinson",prospecting,52903.93,1/3/2026,,Alexandra Ramos,Finance,North America
Robinson Ltd,Closed Won,20350.75,,1/15/2025,David Rocha,Healthcare,North America
"Burke, Gonzalez and Mcknight",negotiation,62003.32,12/1/2026,3/20/2025,David Potter,Education,
Vargas Ltd,PROSPECTING,93373.7,6/10/2026,5/21/2025,Robert Moore,Retail,Asia
Rodriguez Inc,proposal,40279.5,10/30/2026,,Amanda Owens,Technology,Europe
,,93172.04,3/2/2026,5/30/2025,Kristen Obrien,Technology,Asia
Schultz-Waller,closed lost,72226.78,3/20/2026,4/13/2025,James Burke,Education,Asia
"Cole, Fischer and Adams",NEGOTIATION,35124.48,6/1/2026,2/22/2025,Brittany Chaney,Healthcare,North America
"Cole, Fischer and Adams",Qualification,84553.94,3/25/2026,3/15/2025,Jessica Ball,,Europe
Harris and Sons,Prospecting,43824.74,11/7/2025,5/20/2025,Rebecca Spence,Technology,North America
"Cole, Fischer and Adams",Closed Won,40754.68,10/5/2026,5/18/2025,Robert Moore,Manufacturing,Europe
Romero PLC,PROSPECTING,25209.1,4/7/2026,3/13/2025,Kristen Obrien,Technology,Asia
Jimenez Ltd,qualification,7870.44,1/10/2026,5/15/2025,Amanda Owens,Technology,
Carlson-Brown,Proposal,63719.44,8/11/2026,1/9/2025,Mark Lopez,Healthcare,South America
Tucker LLC,Negotiation,34493.1,10/18/2025,3/18/2025,Mark Lopez,Finance,Europe
Bates Ltd,Prospecting,90001.04,10/9/2026,4/2/2025,Nicole Curtis,Finance,North America
Terry-Baldwin,Proposal,7243.98,5/17/2026,,,Manufacturing,Europe
Vargas Ltd,,25523.5,2/1/2026,3/25/2025,Richard Warren,Education,North America
Schultz-Waller,prospecting,28410.46,4/9/2026,1/10/2025,James Burke,Finance,North America
Green LLC,,62552.3,8/28/2026,,Rebecca Spence,Retail,Europe
Lang-Freeman,closed won,27170.54,8/30/2026,3/26/2025,Kimberly Morgan,Education,
Sanchez Inc,qualification,39360.41,1/29/2026,5/25/2025,Rebecca Spence,Manufacturing,North America
,Proposal,42466.84,12/12/2025,3/22/2025,Yvette Griffith,Healthcare,
Rodriguez Inc,PROSPECTING,69602.29,11/5/2025,5/16/2025,Spencer Stanley,Manufacturing,South America
Rogers-Rhodes,PROSPECTING,,6/25/2026,5/2/2025,Richard Warren,Manufacturing,Europe
Small PLC,prospecting,14602.75,6/16/2026,5/19/2025,Alexandra Ramos,Finance,
"Gonzalez, Jarvis and Cohen",Proposal,51388.36,8/19/2026,3/14/2025,Traci Bell DDS,Finance,North America
Davis and Sons,Negotiation,7608.15,5/14/2026,4/11/2025,David Potter,Education,
Black Group,Qualification,61978.43,5/11/2026,,Yvette Griffith,Technology,Asia
"Gonzalez, Jarvis and Cohen",closed won,35251.03,2/15/2026,2/2/2025,Martin Johnston,Education,Asia
,NEGOTIATION,77354.26,7/6/2026,5/16/2025,Craig Johnson,Retail,Asia
"Hoffman, Thomas and Hawkins",Negotiation,67133.93,11/21/2026,,Traci Bell DDS,Healthcare,South America
Green LLC,proposal,82312.48,12/6/2026,1/27/2025,James Burke,Technology,North America
Small PLC,closed won,68330.37,4/21/2026,1/2/2025,Kristen Obrien,Healthcare,Europe
Ross-Sparks,closed lost,99081.05,12/21/2025,1/2/2025,Jessica Ball,Finance,Asia
Lane-Price,closed lost,66685.16,12/13/2026,,Jessica Ball,Manufacturing,North America
Gallagher-Ellis,Qualification,11000.1,12/30/2026,4/15/2025,Miss Dorothy Collins DVM,Healthcare,Europe
Larson-Erickson,Closed Lost,73031.98,10/6/2026,1/5/2025,,Finance,Europe
Cabrera-Blake,CLOSED WON,95309.18,8/23/2026,3/21/2025,Catherine Ray,Education,North America
Vargas Ltd,Proposal,65210.06,1/20/2026,4/13/2025,Kimberly Morgan,Education,Europe
Vargas Ltd,PROPOSAL,28039.14,11/15/2025,3/8/2025,Jonathan Patterson,Education,Europe
"Levine, Porter and Reed",Negotiation,34874.26,7/11/2026,5/26/2025,Kathleen Harris,Retail,Asia
Spencer-Wright,proposal,,2/16/2026,,Ryan Mann,Technology,South America
Campbell-Hanson,proposal,66785.83,10/19/2025,5/12/2025,Jonathan Patterson,Finance,Asia
,Closed Lost,53281.62,,3/5/2025,David Rocha,Manufacturing,South America
"Page, Morris and Rosales",CLOSED WON,"$59,921.05 ",10/19/2025,2/4/2025,Mark Lopez,Technology,South America
Small PLC,Prospecting,69492.42,5/26/2026,1/21/2025,Catherine Ray,Manufacturing,North America
Parks Inc,Closed Lost,28194.75,,2/15/2025,Kathleen Harris,Retail,Europe
Myers Ltd,Proposal,32249.96,9/20/2026,,,Manufacturing,Europe
Holland-Matthews,Qualification,56572.25,12/29/2025,1/10/2025,Rebecca Spence,Education,Europe
Sweeney-Graves,,33727.03,2/20/2026,3/10/2025,Bradley Macdonald,Healthcare,South America
Harrell and Sons,Closed Won,11887.82,3/30/2026,2/5/2025,Richard Warren,Technology,North America
Harris and Sons,negotiation,65358.48,5/10/2026,4/30/2025,Catherine Ray,Healthcare,Europe
,Prospecting,34152.7,10/16/2025,1/16/2025,Ryan Mann,Finance,Europe
Orr Ltd,Closed Lost,51051.22,9/20/2026,3/10/2025,Marissa Perry,Education,South America
Brown-Black,Proposal,72037.06,11/6/2025,2/11/2025,Jason Hudson,Technology,North America
Newman Ltd,CLOSED LOST,52877.93,6/8/2026,1/27/2025,David Potter,Technology,Europe
Rogers-Rhodes,Closed Lost,45361.36,12/16/2025,1/8/2025,Ryan Mann,Healthcare,Europe
Miller Group,negotiation,48797.04,1/3/2026,3/19/2025,Nicole Curtis,Healthcare,Europe
Paul Ltd,PROPOSAL,55753.38,8/18/2026,2/4/2025,Rebecca Spence,Education,Asia
Meyer-Kelly,Proposal,84160.8,11/21/2025,5/14/2025,Jonathan Patterson,Finance,Asia
"Moreno, Griffin and Lewis",Qualification,12850.14,12/27/2026,1/19/2025,Denise Lee,Finance,North America
Cabrera-Blake,CLOSED LOST,92150.45,1/16/2026,2/12/2025,Spencer Stanley,Finance,Europe
,CLOSED WON,1079.68,10/13/2025,4/22/2025,,Manufacturing,South America
"Mcgrath, Salazar and Perez",CLOSED LOST,97192.11,7/27/2026,1/12/2025,Traci Bell DDS,Healthcare,South America
Castaneda-Phillips,PROPOSAL,63451.88,10/29/2026,4/14/2025,,Healthcare,Europe
Spencer-Wright,qualification,10233.37,9/7/2026,2/23/2025,,Education,South America
Meyer-Kelly,NEGOTIATION,76984.73,12/28/2025,1/13/2025,Jason Hudson,Technology,Asia
,Prospecting,81320.95,11/26/2025,3/23/2025,Miss Dorothy Collins DVM,Healthcare,South America
Myers Ltd,Closed Won,16182.45,11/27/2026,1/19/2025,Miss Dorothy Collins DVM,Technology,South America
Roman-Parker,Qualification,"$76,219.23 ",3/20/2026,1/5/2025,Michael Horton,Retail,South America
Orr Ltd,PROPOSAL,38756.72,5/22/2026,4/2/2025,Michael Horton,Manufacturing,Asia
Vargas Ltd,proposal,7754.19,10/27/2025,1/29/2025,Brittany Chaney,Healthcare,Europe
Davis and Sons,NEGOTIATION,"$30,762.66 ",4/4/2026,3/25/2025,Mark Lopez,Healthcare,North America
Wilson and Sons,Prospecting,78296.36,10/28/2026,4/11/2025,Traci Bell DDS,Retail,Europe
"Palmer, Sloan and Clark",proposal,98655.38,12/12/2025,3/17/2025,Mark Lopez,Manufacturing,Europe
Wright-Moran,Closed Won,30629.43,11/16/2026,5/8/2025,Denise Lee,Retail,North America
Harrell and Sons,CLOSED LOST,,9/12/2026,2/21/2025,Jonathan Patterson,Retail,North America
Cabrera-Blake,Negotiation,78842.44,7/3/2026,5/27/2025,Jonathan Patterson,Retail,North America
"Thompson, Nelson and Peterson",closed lost,25781.26,12/22/2025,1/20/2025,Miss Dorothy Collins DVM,Finance,North America
"Fisher, Sweeney and Newman",negotiation,43333.87,10/1/2026,4/8/2025,Marissa Perry,Healthcare,North America
"Davis, Woods and Lewis",closed won,45792.68,9/6/2026,2/24/2025,James Burke,Education,Asia
Black Group,Negotiation,68504.8,4/30/2026,,Catherine Ray,Healthcare,North America
Wright-Moran,PROPOSAL,37535.3,10/3/2026,2/15/2025,Yvette Griffith,,South America
Sweeney-Graves,Prospecting,42797.59,11/21/2025,1/13/2025,Ryan Mann,Finance,
Rodriguez Group,closed won,10861,3/13/2026,5/11/2025,Brittany Chaney,Manufacturing,South America
Davis and Sons,Negotiation,,10/14/2025,5/11/2025,Spencer Stanley,Manufacturing,Asia
Castaneda-Phillips,NEGOTIATION,,8/29/2026,1/31/2025,Catherine Ray,Technology,North America
Larson-Erickson,Qualification,42481.11,11/17/2026,4/10/2025,Richard Warren,Technology,Asia
Wilson and Sons,QUALIFICATION,47706.7,3/23/2026,4/15/2025,Amanda Owens,Finance,Asia
Rodriguez Inc,Negotiation,73207.38,12/11/2025,4/19/2025,Kristen Obrien,Technology,Asia
Pineda Ltd,negotiation,56430.09,10/24/2026,5/16/2025,Catherine Ray,,North America
Vargas Ltd,closed won,24582.46,10/2/2025,3/28/2025,Catherine Ray,Education,
Graham-Simon,Closed Lost,78130.84,12/13/2026,4/5/2025,Spencer Stanley,Technology,Asia
Holland-Matthews,PROPOSAL,24652.2,,3/9/2025,Michael Horton,Retail,Europe
,negotiation,36857.71,3/11/2026,5/21/2025,Yvette Griffith,Healthcare,Asia
Lang-Freeman,Proposal,"$51,836.28 ",1/19/2026,2/10/2025,Michael Horton,Retail,Europe
Newman Ltd,CLOSED LOST,15368.32,10/16/2026,4/30/2025,Kristen Obrien,Retail,North America
Smith-Moore,Proposal,16375.99,10/31/2026,2/14/2025,Alexandra Ramos,Technology,Europe
Orr Ltd,Negotiation,98461.26,,5/6/2025,Catherine Ray,Healthcare,
Harrell and Sons,,25710.95,9/16/2026,3/16/2025,David Potter,Technology,North America
Newman Ltd,Closed Won,62665.83,,1/28/2025,Yvette Griffith,Manufacturing,Europe
Schroeder and Sons,Closed Lost,,4/2/2026,5/14/2025,David Rocha,Manufacturing,Asia
,CLOSED WON,89345.98,10/12/2026,2/17/2025,David Potter,Education,South America
Lyons Inc,Closed Won,28569.86,5/19/2026,4/23/2025,Rebecca Spence,Healthcare,North America
Castaneda-Phillips,Closed Lost,95179.14,,2/22/2025,Miss Dorothy Collins DVM,Retail,South America
Tucker and Sons,Negotiation,52217.37,3/8/2026,,David Potter,Healthcare,Asia
Graham-Simon,CLOSED WON,54822.86,2/6/2026,3/5/2025,Craig Johnson,,South America
Graham-Simon,Closed Lost,"$6,999.70 ",11/23/2026,4/18/2025,Richard Warren,,Europe
Harris and Sons,Closed Won,40206.75,,2/14/2025,,Healthcare,South America
Jimenez Ltd,CLOSED WON,40035.64,10/10/2025,1/5/2025,Rebecca Spence,Manufacturing,South America
Hurst and Sons,Negotiation,,3/17/2026,2/6/2025,Martin Johnston,Technology,Asia
Campbell-Hanson,Negotiation,41685.46,12/21/2026,3/16/2025,Miss Dorothy Collins DVM,Finance,
Romero PLC,Qualification,50611.09,12/10/2025,5/2/2025,Kimberly Morgan,Education,Europe
"Sosa, Scott and Goodwin",closed won,72499.51,1/8/2026,1/9/2025,James Burke,Technology,Asia
"Burke, Gonzalez and Mcknight",Closed Lost,2937.87,2/16/2026,4/2/2025,Denise Lee,Retail,North America
"Thompson, Nelson and Peterson",CLOSED WON,71655.68,3/23/2026,3/27/2025,Robert Moore,Healthcare,Asia
Lyons Inc,NEGOTIATION,25489.85,11/28/2026,1/22/2025,Spencer Stanley,Manufacturing,Europe
Newman Ltd,Prospecting,44985.74,12/8/2025,1/19/2025,Robert Moore,Retail,North America
"Page, Morris and Rosales",Closed Won,40942.15,6/28/2026,1/15/2025,Ryan Mann,Education,North America
"Burke, Gonzalez and Mcknight",Closed Lost,88237.97,3/17/2026,3/4/2025,Rebecca Spence,Retail,North America
Carr PLC,PROSPECTING,18350.07,9/3/2026,5/28/2025,Richard Warren,Technology,Asia
